source|relation|target
Methoden und Konzepte aquatischer Ökologie|Veranstaltungsart|Übung
Methoden und Konzepte aquatischer Ökologie|Dozent|Christian Laforsch
Methoden und Konzepte aquatischer Ökologie|Veranstaltung von|Lehrstuhl Tierökologie I
Methods in Dynamic Vegetation Ecology, Modul Dynamische Vegetationsökologie|Vorlesungsnummer|00763
Methods in Dynamic Vegetation Ecology, Modul Dynamische Vegetationsökologie|Veranstaltungsart|Übung
Methods in Dynamic Vegetation Ecology, Modul Dynamische Vegetationsökologie|Dozent|Steven Higgins
Methods in Dynamic Vegetation Ecology, Modul Dynamische Vegetationsökologie|Veranstaltung von|Lehrstuhl Pflanzenökologie
Methods in Environmental Geography (Remote Sensing)|Vorlesungsnummer|00621
Methods in Environmental Geography (Remote Sensing)|Veranstaltungsart|Kurs
Methods in Environmental Geography (Remote Sensing)|Dozent|Behnaz Arabi
Methods in Environmental Geography (Remote Sensing)|Veranstaltung von|Research Group of Climatology - Prof. Dr. Cyrus Samimi
Mikrobiologisches Kolloquium|Vorlesungsnummer|20217
Mikrobiologisches Kolloquium|Veranstaltungsart|Kolloquium
Mikrobiologisches Kolloquium|Dozent|Frank-Dietrich Müller
Mikrobiologisches Kolloquium|Veranstaltung von|Lehrstuhl Mikrobiologie
Mikrobiologisches Literaturseminar|Vorlesungsnummer|20216
Mikrobiologisches Literaturseminar|Veranstaltungsart|Seminar
Mikrobiologisches Literaturseminar|Dozent|Frank-Dietrich Müller
Mikrobiologisches Literaturseminar|Veranstaltung von|Lehrstuhl Mikrobiologie
Mikrometeorologisches und atmosphärenchemisches Seminar|Vorlesungsnummer|28004
Mikrometeorologisches und atmosphärenchemisches Seminar|Veranstaltungsart|Seminar
Mikrometeorologisches und atmosphärenchemisches Seminar|Dozent|Wolfgang Babel
Mikrometeorologisches und atmosphärenchemisches Seminar|Veranstaltung von|Professur Mikrometeorologie
Mitarbeiterhauptseminar|Vorlesungsnummer|21003
Mitarbeiterhauptseminar|Veranstaltungsart|Seminar
Mitarbeiterhauptseminar|Dozent|Stephan Clemens
Mitarbeiterhauptseminar|Veranstaltung von|Lehrstuhl Pflanzenphysiologie
Mitarbeiterhauptseminar|Vorlesungsnummer|21004
Mitarbeiterhauptseminar|Veranstaltungsart|Hauptseminar
Mitarbeiterhauptseminar|Dozent|Angelika Mustroph
Mitarbeiterhauptseminar|Veranstaltung von|Professur Pflanzengenetik
Mitarbeiterpraktikum Naturstoffchemie: Biosynthesen und Strukturen (kurzes Praktikum) - AK Schobert|Vorlesungsnummer|00593
Mitarbeiterpraktikum Naturstoffchemie: Biosynthesen und Strukturen (kurzes Praktikum) - AK Schobert|Veranstaltungsart|Praktikum
Mitarbeiterpraktikum Naturstoffchemie: Biosynthesen und Strukturen (kurzes Praktikum) - AK Schobert|Dozent|Rainer Schobert
Mitarbeiterpraktikum Naturstoffchemie: Biosynthesen und Strukturen (kurzes Praktikum) - AK Schobert|Veranstaltung von|Lehrstuhl Organische Chemie I
Modeling Ecosystem Functions with the Soil and Water Assessment Tool|Vorlesungsnummer|28368
Modeling Ecosystem Functions with the Soil and Water Assessment Tool|Veranstaltungsart|Vorlesung & Übung
Modeling Ecosystem Functions with the Soil and Water Assessment Tool|Dozent|Ervin Kosatica
Modeling Ecosystem Functions with the Soil and Water Assessment Tool|Veranstaltung von|Professur Ecological Services
Modellbildung in der Geoökologie|Vorlesungsnummer|28125
Modellbildung in der Geoökologie|Veranstaltungsart|Vorlesung & Übung
Modellbildung in der Geoökologie|Dozent|Michael Hauhs
Modellbildung in der Geoökologie|Veranstaltung von|Lehrstuhl Ökologische Modellbildung
Modelle und Experimente im Geographieunterricht|Vorlesungsnummer|28844
Modelle und Experimente im Geographieunterricht|Veranstaltungsart|Übung
Modelle und Experimente im Geographieunterricht|Dozent|Kati Barthmann
Modelle und Experimente im Geographieunterricht|Veranstaltung von|Didaktik der Geographie
Moderation|Vorlesungsnummer|28557
Moderation|Veranstaltungsart|Seminar
Moderation|Dozent|Jasmin Samimi
Moderation|Veranstaltung von|Didaktik der Geographie
Moderation/Projektplanung|Vorlesungsnummer|28589
Moderation/Projektplanung|Veranstaltungsart|Übung
Moderation/Projektplanung|Dozent|Michael Breitenfelder
Moderation/Projektplanung|Veranstaltung von|Didaktik der Geographie
Moderne Synthesemethoden|Vorlesungsnummer|23170
Moderne Synthesemethoden|Veranstaltungsart|Vorlesung
Moderne Synthesemethoden|Dozent|Matthias Breuning
Moderne Synthesemethoden|Veranstaltung von|Lehrstuhl Bioorganische Chemie
Modul FD-DC IX.1: Fortgeschrittenes fachdidaktisches Arbeiten|Vorlesungsnummer|26144
Modul FD-DC IX.1: Fortgeschrittenes fachdidaktisches Arbeiten|Veranstaltungsart|Seminar
Modul FD-DC IX.1: Fortgeschrittenes fachdidaktisches Arbeiten|Dozent|Walter Wagner
Modul FD-DC IX.1: Fortgeschrittenes fachdidaktisches Arbeiten|Veranstaltung von|Didaktik der Chemie
Modul FD-DC IX.2: Übung zum fortgeschrittenen fachdidaktischen Arbeiten|Vorlesungsnummer|26145
Modul FD-DC IX.2: Übung zum fortgeschrittenen fachdidaktischen Arbeiten|Veranstaltungsart|Übung
Modul FD-DC IX.2: Übung zum fortgeschrittenen fachdidaktischen Arbeiten|Dozent|Walter Wagner
Modul FD-DC IX.2: Übung zum fortgeschrittenen fachdidaktischen Arbeiten|Veranstaltung von|Didaktik der Chemie
Modul FD-DC VIII.3 Schriftliche Hausarbeit zu einem Thema aus dem Modul|Vorlesungsnummer|26137
Modul FD-DC VIII.3 Schriftliche Hausarbeit zu einem Thema aus dem Modul|Veranstaltungsart|Seminar
Modul FD-DC VIII.3 Schriftliche Hausarbeit zu einem Thema aus dem Modul|Dozent|Eva-Maria Schäffer
Modul FD-DC VIII.3 Schriftliche Hausarbeit zu einem Thema aus dem Modul|Veranstaltung von|Didaktik der Chemie
Modul SP1: Schlüsselqualifikationen, Forschungsseminar BÖK|Vorlesungsnummer|20800
Modul SP1: Schlüsselqualifikationen, Forschungsseminar BÖK|Veranstaltungsart|Seminar
Modul SP1: Schlüsselqualifikationen, Forschungsseminar BÖK|Dozent|Bettina Engelbrecht
Modul SP1: Schlüsselqualifikationen, Forschungsseminar BÖK|Veranstaltung von|Professur Pflanzenökologie
Modul SP1: Schlüsselqualifikationen, Übungen zum Verfassen wissenschaftlicher Texte BÖK|Vorlesungsnummer|20799
Modul SP1: Schlüsselqualifikationen, Übungen zum Verfassen wissenschaftlicher Texte BÖK|Veranstaltungsart|Kurs
Modul SP1: Schlüsselqualifikationen, Übungen zum Verfassen wissenschaftlicher Texte BÖK|Dozent|Bettina Engelbrecht
Modul SP1: Schlüsselqualifikationen, Übungen zum Verfassen wissenschaftlicher Texte BÖK|Veranstaltung von|Professur Pflanzenökologie
Modul SP2: Projektarbeit BÖK, Pflanzenökologie Prof. Engelbrecht|Vorlesungsnummer|20798
Modul SP2: Projektarbeit BÖK, Pflanzenökologie Prof. Engelbrecht|Veranstaltungsart|Projekt
Modul SP2: Projektarbeit BÖK, Pflanzenökologie Prof. Engelbrecht|Dozent|Bettina Engelbrecht
Modul SP2: Projektarbeit BÖK, Pflanzenökologie Prof. Engelbrecht|Veranstaltung von|Professur Pflanzenökologie
Module FD-DC III und FD-DC V.1: Konzeption von Experimenten und ihr Einsatz im Chemieunterricht|Vorlesungsnummer|26121
Module FD-DC III und FD-DC V.1: Konzeption von Experimenten und ihr Einsatz im Chemieunterricht|Veranstaltungsart|Übung
Module FD-DC III und FD-DC V.1: Konzeption von Experimenten und ihr Einsatz im Chemieunterricht|Dozent|Walter Wagner
Module FD-DC III und FD-DC V.1: Konzeption von Experimenten und ihr Einsatz im Chemieunterricht|Veranstaltung von|Didaktik der Chemie
Module FD-DC III und FD-DC V.1: Konzeption von Experimenten und ihr Einsatz im Chemieunterricht|Vorlesungsnummer|26120
Module FD-DC III und FD-DC V.1: Konzeption von Experimenten und ihr Einsatz im Chemieunterricht|Veranstaltungsart|Übung
Module FD-DC III und FD-DC V.1: Konzeption von Experimenten und ihr Einsatz im Chemieunterricht|Dozent|Petra Oberpaul
Module FD-DC III und FD-DC V.1: Konzeption von Experimenten und ihr Einsatz im Chemieunterricht|Veranstaltung von|Didaktik der Chemie
Molecular Biosciences|Vorlesungsnummer|00691
Molecular Biosciences|Veranstaltungsart|Vorlesung
Molecular Biosciences|Dozent|Stephan Clemens
Molecular Biosciences|Veranstaltung von|Lehrstuhl Pflanzenphysiologie
Molekulare aquatische Umweltmikrobiologie|Vorlesungsnummer|20450
Molekulare aquatische Umweltmikrobiologie|Veranstaltungsart|Vorlesung
Molekulare aquatische Umweltmikrobiologie|Dozent|Tillmann Lüders
Molekulare aquatische Umweltmikrobiologie|Veranstaltung von|Lehrstuhl Ökologische Mikrobiologie
Molekulare Mikrobiologie|Vorlesungsnummer|20210
Molekulare Mikrobiologie|Veranstaltungsart|Vorlesung
Molekulare Mikrobiologie|Dozent|René Uebe
Molekulare Mikrobiologie|Veranstaltung von|Lehrstuhl Mikrobiologie
Molekulare und Medizinische Parasitologie|Vorlesungsnummer|20261
Molekulare und Medizinische Parasitologie|Veranstaltungsart|Praktikum
Molekulare und Medizinische Parasitologie|Dozent|Klaus Ersfeld
Molekulare und Medizinische Parasitologie|Veranstaltung von|Professur Genetik
Molekulare und Medizinische Parasitologie|Vorlesungsnummer|20262
Molekulare und Medizinische Parasitologie|Veranstaltungsart|Seminar
Molekulare und Medizinische Parasitologie|Dozent|Klaus Ersfeld
Molekulare und Medizinische Parasitologie|Veranstaltung von|Professur Genetik
Molekulare und Medizinische Parasitologie|Vorlesungsnummer|20260
Molekulare und Medizinische Parasitologie|Veranstaltungsart|Vorlesung
Molekulare und Medizinische Parasitologie|Dozent|Klaus Ersfeld
Molekulare und Medizinische Parasitologie|Veranstaltung von|Professur Genetik
Molekulare und Medizinische Parasitologie|Vorlesungsnummer|00887
Molekulare und Medizinische Parasitologie|Veranstaltungsart|Tutorium
Molekulare und Medizinische Parasitologie|Dozent|Klaus Ersfeld
Molekulare und Medizinische Parasitologie|Veranstaltung von|Professur Genetik
Molekulare und metabolische Vielfalt von Mikroorganismen|Vorlesungsnummer|20212
Molekulare und metabolische Vielfalt von Mikroorganismen|Veranstaltungsart|Praktikum
Molekulare und metabolische Vielfalt von Mikroorganismen|Dozent|Frank-Dietrich Müller
Molekulare und metabolische Vielfalt von Mikroorganismen|Veranstaltung von|Lehrstuhl Mikrobiologie
Molekulare und metabolische Vielfalt von Mikroorganismen|Vorlesungsnummer|20222
Molekulare und metabolische Vielfalt von Mikroorganismen|Veranstaltungsart|Praktikum
Molekulare und metabolische Vielfalt von Mikroorganismen|Dozent|Frank-Dietrich Müller
Molekulare und metabolische Vielfalt von Mikroorganismen|Veranstaltung von|Lehrstuhl Mikrobiologie
Molekulare und metabolische Vielfalt von Mikroorganismen MSc BCMB|Vorlesungsnummer|20321
Molekulare und metabolische Vielfalt von Mikroorganismen MSc BCMB|Veranstaltungsart|Seminar
Molekulare und metabolische Vielfalt von Mikroorganismen MSc BCMB|Dozent|Frank-Dietrich Müller
Molekulare und metabolische Vielfalt von Mikroorganismen MSc BCMB|Veranstaltung von|Lehrstuhl Mikrobiologie
Molekulare und metabolische Vielfalt von Mikroorganismen MSc BCMB|Vorlesungsnummer|20322
Molekulare und metabolische Vielfalt von Mikroorganismen MSc BCMB|Veranstaltungsart|Praktikum
Molekulare und metabolische Vielfalt von Mikroorganismen MSc BCMB|Dozent|Frank-Dietrich Müller
Molekulare und metabolische Vielfalt von Mikroorganismen MSc BCMB|Veranstaltung von|Lehrstuhl Mikrobiologie
Molekulare und metabolische Vielfalt von Mikroorganismen MSc Mol. Ökol.|Vorlesungsnummer|20521
Molekulare und metabolische Vielfalt von Mikroorganismen MSc Mol. Ökol.|Veranstaltungsart|Seminar
Molekulare und metabolische Vielfalt von Mikroorganismen MSc Mol. Ökol.|Dozent|Frank-Dietrich Müller
Molekulare und metabolische Vielfalt von Mikroorganismen MSc Mol. Ökol.|Veranstaltung von|Lehrstuhl Mikrobiologie
Molekulare und metabolische Vielfalt von Mikroorganismen MSc Mol. Ökol.|Vorlesungsnummer|20522
Molekulare und metabolische Vielfalt von Mikroorganismen MSc Mol. Ökol.|Veranstaltungsart|Praktikum
Molekulare und metabolische Vielfalt von Mikroorganismen MSc Mol. Ökol.|Dozent|Frank-Dietrich Müller
Molekulare und metabolische Vielfalt von Mikroorganismen MSc Mol. Ökol.|Veranstaltung von|Lehrstuhl Mikrobiologie
Multimediakompetenz im Biologieunterricht|Vorlesungsnummer|21190
Multimediakompetenz im Biologieunterricht|Veranstaltungsart|Seminar
Multimediakompetenz im Biologieunterricht|Dozent|Franz-Josef Scharfenberg
Multimediakompetenz im Biologieunterricht|Veranstaltung von|Lehrstuhl Didaktik der Biologie
Multimediale Anwendungen für den naturwissenschaftlichen Unterricht|Vorlesungsnummer|26051
Multimediale Anwendungen für den naturwissenschaftlichen Unterricht|Veranstaltungsart|Übung
Multimediale Anwendungen für den naturwissenschaftlichen Unterricht|Dozent|Walter Wagner
Multimediale Anwendungen für den naturwissenschaftlichen Unterricht|Veranstaltung von|Didaktik der Chemie
Multimediale Anwendungen für den naturwissenschaftlichen Unterricht|Vorlesungsnummer|26050
Multimediale Anwendungen für den naturwissenschaftlichen Unterricht|Veranstaltungsart|Seminar
Multimediale Anwendungen für den naturwissenschaftlichen Unterricht|Dozent|Walter Wagner
Multimediale Anwendungen für den naturwissenschaftlichen Unterricht|Veranstaltung von|Didaktik der Chemie
Multimediale Anwendungen für den naturwissenschaftlichen Unterricht II|Vorlesungsnummer|26052
Multimediale Anwendungen für den naturwissenschaftlichen Unterricht II|Veranstaltungsart|Seminar
Multimediale Anwendungen für den naturwissenschaftlichen Unterricht II|Dozent|Walter Wagner
Multimediale Anwendungen für den naturwissenschaftlichen Unterricht II|Veranstaltung von|Didaktik der Chemie
Multimediale Anwendungen für den naturwissenschaftlichen Unterricht II|Vorlesungsnummer|26053
Multimediale Anwendungen für den naturwissenschaftlichen Unterricht II|Veranstaltungsart|Übung
Multimediale Anwendungen für den naturwissenschaftlichen Unterricht II|Dozent|Walter Wagner
Multimediale Anwendungen für den naturwissenschaftlichen Unterricht II|Veranstaltung von|Didaktik der Chemie
M2 Research Module - Environmental Chemistry Research Project|Vorlesungsnummer|00921
M2 Research Module - Environmental Chemistry Research Project|Veranstaltungsart|Projekt
M2 Research Module - Environmental Chemistry Research Project|Dozent|Stefan Peiffer
M2 Research Module - Environmental Chemistry Research Project|Veranstaltung von|Lehrstuhl Hydrologie
M3 Paper Seminar|Vorlesungsnummer|01207
M3 Paper Seminar|Veranstaltungsart|Kurs
M3 Paper Seminar|Dozent|Stefan Peiffer
M3 Paper Seminar|Veranstaltung von|Lehrstuhl Hydrologie
M3 Research Plan – Designing and Presenting a Research Plan|Vorlesungsnummer|00788
M3 Research Plan – Designing and Presenting a Research Plan|Veranstaltungsart|Seminar
M3 Research Plan – Designing and Presenting a Research Plan|Dozent|Stefan Peiffer
M3 Research Plan – Designing and Presenting a Research Plan|Veranstaltung von|Lehrstuhl Hydrologie
Naturschutz|Vorlesungsnummer|28230
Naturschutz|Veranstaltungsart|Vorlesung
Naturschutz|Dozent|Kai Frobel
Naturschutz|Veranstaltung von|Lehrstuhl Biogeographie
Naturschutzbiologie der Pflanzen|Vorlesungsnummer|00071
Naturschutzbiologie der Pflanzen|Veranstaltungsart|Vorlesung
Naturschutzbiologie der Pflanzen|Dozent|Timo Conradi
Naturschutzbiologie der Pflanzen|Veranstaltung von|Lehrstuhl Pflanzenökologie
Nebengruppenchemie|Vorlesungsnummer|23112
Nebengruppenchemie|Veranstaltungsart|Vorlesung
Nebengruppenchemie|Dozent|Birgit Weber
Nebengruppenchemie|Veranstaltung von|Professur Anorganische Chemie IV
Neurobiologie|Vorlesungsnummer|20457
Neurobiologie|Veranstaltungsart|Praktikum
Neurobiologie|Dozent|Peter Machnik
Neurobiologie|Veranstaltung von|Lehrstuhl Tierphysiologie
Neurobiologie|Vorlesungsnummer|20455
Neurobiologie|Veranstaltungsart|Vorlesung
Neurobiologie|Dozent|Peter Machnik
Neurobiologie|Veranstaltung von|Lehrstuhl Tierphysiologie
Neurobiologie|Vorlesungsnummer|20456
Neurobiologie|Veranstaltungsart|Seminar
Neurobiologie|Dozent|Peter Machnik
Neurobiologie|Veranstaltung von|Lehrstuhl Tierphysiologie
Non-coding RNA and Epigenetics|Vorlesungsnummer|00073
Non-coding RNA and Epigenetics|Veranstaltungsart|Vorlesung
Non-coding RNA and Epigenetics|Dozent|Claus-Dieter Kuhn
Non-coding RNA and Epigenetics|Veranstaltung von|ENB - Macromolecular Science: AG Structural Basis of Gene Regulation by Non-Coding RNA
Non-coding RNA and Epigenetics (Blockpraktikum)|Vorlesungsnummer|00074
Non-coding RNA and Epigenetics (Blockpraktikum)|Veranstaltungsart|Praktikum
Non-coding RNA and Epigenetics (Blockpraktikum)|Dozent|Iana Kim
Non-coding RNA and Epigenetics (Blockpraktikum)|Veranstaltung von|ENB - Macromolecular Science: AG Structural Basis of Gene Regulation by Non-Coding RNA
Non-coding RNA and Epigenetics (Seminar zu Praktikum und Vorlesung)|Vorlesungsnummer|00075
Non-coding RNA and Epigenetics (Seminar zu Praktikum und Vorlesung)|Veranstaltungsart|Seminar
Non-coding RNA and Epigenetics (Seminar zu Praktikum und Vorlesung)|Dozent|Claus-Dieter Kuhn
Non-coding RNA and Epigenetics (Seminar zu Praktikum und Vorlesung)|Veranstaltung von|ENB - Macromolecular Science: AG Structural Basis of Gene Regulation by Non-Coding RNA
Nutzungskonflikte in Trinkwassereinzugsgebieten|Vorlesungsnummer|28239
Nutzungskonflikte in Trinkwassereinzugsgebieten|Veranstaltungsart|Seminar
Nutzungskonflikte in Trinkwassereinzugsgebieten|Dozent|Christoph Hartmann
Nutzungskonflikte in Trinkwassereinzugsgebieten|Veranstaltung von|Lehrstuhl Hydrologie
Ökologie der Korallenriffe|Vorlesungsnummer|20302
Ökologie der Korallenriffe|Veranstaltungsart|Seminar
Ökologie der Korallenriffe|Dozent|Christian Laforsch
Ökologie der Korallenriffe|Veranstaltung von|Lehrstuhl Tierökologie I
Ökologische Mikrobiologie: Literaturseminar|Vorlesungsnummer|21022
Ökologische Mikrobiologie: Literaturseminar|Veranstaltungsart|Seminar
Ökologische Mikrobiologie: Literaturseminar|Dozent|Tillmann Lüders
Ökologische Mikrobiologie: Literaturseminar|Veranstaltung von|Lehrstuhl Ökologische Mikrobiologie
Organische Chemie für Biologen, Geoökologen, Ingenieure, Informatiker und Physiker|Vorlesungsnummer|27130
Organische Chemie für Biologen, Geoökologen, Ingenieure, Informatiker und Physiker|Veranstaltungsart|Vorlesung
Organische Chemie für Biologen, Geoökologen, Ingenieure, Informatiker und Physiker|Dozent|Mukundan Thelakkat
Organische Chemie für Biologen, Geoökologen, Ingenieure, Informatiker und Physiker|Veranstaltung von|Professur Angewandte Funktionspolymere
Organische Chemie für Biologen, Geoökologen, Ingenieure und Informatiker|Vorlesungsnummer|27131
Organische Chemie für Biologen, Geoökologen, Ingenieure und Informatiker|Veranstaltungsart|Übung
Organische Chemie für Biologen, Geoökologen, Ingenieure und Informatiker|Dozent|Reiner Giesa
Organische Chemie für Biologen, Geoökologen, Ingenieure und Informatiker|Veranstaltung von|Professur Angewandte Funktionspolymere
Organisches Forschungspraktikum (AK Breuning)|Vorlesungsnummer|23171
Organisches Forschungspraktikum (AK Breuning)|Veranstaltungsart|Praktikum
Organisches Forschungspraktikum (AK Breuning)|Dozent|Matthias Breuning
Organisches Forschungspraktikum (AK Breuning)|Veranstaltung von|Professur Organische Chemie I/2
Organisches Forschungspraktikum (AK Schobert)|Vorlesungsnummer|00163
Organisches Forschungspraktikum (AK Schobert)|Veranstaltungsart|Praktikum
Organisches Forschungspraktikum (AK Schobert)|Dozent|Rainer Schobert
Organisches Forschungspraktikum (AK Schobert)|Veranstaltung von|Lehrstuhl Organische Chemie I
Organisches Forschungspraktikum (AK Unverzagt)|Vorlesungsnummer|00162
Organisches Forschungspraktikum (AK Unverzagt)|Veranstaltungsart|Praktikum
Organisches Forschungspraktikum (AK Unverzagt)|Dozent|Carlo Unverzagt
Organisches Forschungspraktikum (AK Unverzagt)|Veranstaltung von|Lehrstuhl Bioorganische Chemie
Pflanzenbestimmung für Geoökologen|Vorlesungsnummer|28126
Pflanzenbestimmung für Geoökologen|Veranstaltungsart|Vorlesung & Übung
Pflanzenbestimmung für Geoökologen|Dozent|Martin Feulner
Pflanzenbestimmung für Geoökologen|Veranstaltung von|Lehrstuhl Pflanzensystematik
Pflanzenökologisches Praktikum|Vorlesungsnummer|00510
Pflanzenökologisches Praktikum|Veranstaltungsart|Praktikum
Pflanzenökologisches Praktikum|Dozent|Timo Conradi
Pflanzenökologisches Praktikum|Veranstaltung von|Lehrstuhl Pflanzenökologie
Pflanzenphysiologisches Hauptseminar für Diplomanden, Doktoranden, B.Sc. und M.Sc. Studierende|Vorlesungsnummer|21005
Pflanzenphysiologisches Hauptseminar für Diplomanden, Doktoranden, B.Sc. und M.Sc. Studierende|Veranstaltungsart|Seminar
Pflanzenphysiologisches Hauptseminar für Diplomanden, Doktoranden, B.Sc. und M.Sc. Studierende|Dozent|Stephan Clemens
Pflanzenphysiologisches Hauptseminar für Diplomanden, Doktoranden, B.Sc. und M.Sc. Studierende|Veranstaltung von|Lehrstuhl Pflanzenphysiologie
Pflanzenphysiologisches Praktikum|Vorlesungsnummer|20142
Pflanzenphysiologisches Praktikum|Veranstaltungsart|Praktikum
Pflanzenphysiologisches Praktikum|Dozent|Maria Klecker
Pflanzenphysiologisches Praktikum|Veranstaltung von|Lehrstuhl Pflanzenphysiologie
Pflanzensystematisches Hauptseminar für B.Sc. und M.Sc. Studierende und Doktoranden|Vorlesungsnummer|21006
Pflanzensystematisches Hauptseminar für B.Sc. und M.Sc. Studierende und Doktoranden|Veranstaltungsart|Seminar
Pflanzensystematisches Hauptseminar für B.Sc. und M.Sc. Studierende und Doktoranden|Dozent|Sigrid Liede-Schumann
Pflanzensystematisches Hauptseminar für B.Sc. und M.Sc. Studierende und Doktoranden|Veranstaltung von|Lehrstuhl Pflanzensystematik
Planung von Unterricht, Gymnasium (Kurs 1)|Vorlesungsnummer|26011
Planung von Unterricht, Gymnasium (Kurs 1)|Veranstaltungsart|Übung
Planung von Unterricht, Gymnasium (Kurs 1)|Dozent|Walter Wagner
Planung von Unterricht, Gymnasium (Kurs 1)|Veranstaltung von|Didaktik der Chemie
Planung von Unterricht, Gymnasium (Kurs 2)|Vorlesungsnummer|26012
Planung von Unterricht, Gymnasium (Kurs 2)|Veranstaltungsart|Übung
Planung von Unterricht, Gymnasium (Kurs 2)|Dozent|Petra Oberpaul
Planung von Unterricht, Gymnasium (Kurs 2)|Veranstaltung von|Didaktik der Chemie
Planung von Unterricht, Realschule|Vorlesungsnummer|26013
Planung von Unterricht, Realschule|Veranstaltungsart|Übung
Planung von Unterricht, Realschule|Dozent|Walter Wagner
Planung von Unterricht, Realschule|Veranstaltung von|Didaktik der Chemie
Politische Geographie/Geographische Entwicklungsforschung|Vorlesungsnummer|28538
Politische Geographie/Geographische Entwicklungsforschung|Veranstaltungsart|Vorlesung
Politische Geographie/Geographische Entwicklungsforschung|Dozent|Martin Doevenspeck
Politische Geographie/Geographische Entwicklungsforschung|Veranstaltung von|Professur Politische Geographie
Populationsökologisches Hauptseminar für B.Sc. und M.Sc. Studierende, Staatsexamenskandidaten und Doktoranden|Vorlesungsnummer|21008
Populationsökologisches Hauptseminar für B.Sc. und M.Sc. Studierende, Staatsexamenskandidaten und Doktoranden|Veranstaltungsart|Seminar
Populationsökologisches Hauptseminar für B.Sc. und M.Sc. Studierende, Staatsexamenskandidaten und Doktoranden|Dozent|Heike Feldhaar
Populationsökologisches Hauptseminar für B.Sc. und M.Sc. Studierende, Staatsexamenskandidaten und Doktoranden|Veranstaltung von|Professur Populationsökologie der Tiere
Praktikum Aktuelle Forschungsthemen der anorganischen Chemie (optional)|Vorlesungsnummer|23201
Praktikum Aktuelle Forschungsthemen der anorganischen Chemie (optional)|Veranstaltungsart|Praktikum
Praktikum Aktuelle Forschungsthemen der anorganischen Chemie (optional)|Dozent|Josef Breu
Praktikum Aktuelle Forschungsthemen der anorganischen Chemie (optional)|Veranstaltung von|Inorganic Chemistry II
Praktikum Aktuelle Forschungsthemen der organischen Chemie (AK Breuning)|Vorlesungsnummer|00263
Praktikum Aktuelle Forschungsthemen der organischen Chemie (AK Breuning)|Veranstaltungsart|Praktikum
Praktikum Aktuelle Forschungsthemen der organischen Chemie (AK Breuning)|Dozent|Matthias Breuning
Praktikum Aktuelle Forschungsthemen der organischen Chemie (AK Breuning)|Veranstaltung von|Professur Organische Chemie I/2
Praktikum Aktuelle Forschungsthemen der Organischen Chemie (AK Unverzagt)|Vorlesungsnummer|00723
Praktikum Aktuelle Forschungsthemen der Organischen Chemie (AK Unverzagt)|Veranstaltungsart|Praktikum
Praktikum Aktuelle Forschungsthemen der Organischen Chemie (AK Unverzagt)|Dozent|Carlo Unverzagt
Praktikum Aktuelle Forschungsthemen der Organischen Chemie (AK Unverzagt)|Veranstaltung von|Lehrstuhl Bioorganische Chemie
Praktikum Aktuelle Forschungsthemen der organischen Chemie (optinal) (AK Hahn)|Vorlesungsnummer|01164
Praktikum Aktuelle Forschungsthemen der organischen Chemie (optinal) (AK Hahn)|Veranstaltungsart|Praktikum
Praktikum Aktuelle Forschungsthemen der organischen Chemie (optinal) (AK Hahn)|Dozent|Frank Hahn
Praktikum Aktuelle Forschungsthemen der organischen Chemie (optinal) (AK Hahn)|Veranstaltung von|VWL VIII: International Competition Policy
Praktikum Aktuelle Forschungsthemen der organischen Chemie (optional)|Vorlesungsnummer|23192
Praktikum Aktuelle Forschungsthemen der organischen Chemie (optional)|Veranstaltungsart|Praktikum
Praktikum Aktuelle Forschungsthemen der organischen Chemie (optional)|Dozent|Rainer Schobert
Praktikum Aktuelle Forschungsthemen der organischen Chemie (optional)|Veranstaltung von|Lehrstuhl Organische Chemie I
Praktikum Analytik und Screening von Natur- und Wirkstoffen|Vorlesungsnummer|24333
Praktikum Analytik und Screening von Natur- und Wirkstoffen|Veranstaltungsart|Praktikum
Praktikum Analytik und Screening von Natur- und Wirkstoffen|Dozent|Ulrike Lacher
Praktikum Analytik und Screening von Natur- und Wirkstoffen|Veranstaltung von|Lehrstuhl Organische Chemie I
Praktikum Bioanalytics|Vorlesungsnummer|24361
Praktikum Bioanalytics|Veranstaltungsart|Praktikum
Praktikum Bioanalytics|Dozent|Stephan Schwarzinger
Praktikum Bioanalytics|Veranstaltung von|Lehrstuhl Biochemie IV
Praktikum Biochemie|Vorlesungsnummer|23210
Praktikum Biochemie|Veranstaltungsart|Praktikum
Praktikum Biochemie|Dozent|Christian Kambach
Praktikum Biochemie|Veranstaltung von|Lehrstuhl Biochemie I
Praktikum biologische Schulversuche I|Vorlesungsnummer|21502
Praktikum biologische Schulversuche I|Veranstaltungsart|Übung
Praktikum biologische Schulversuche I|Dozent|Jennifer Schneiderhan-Opel
Praktikum biologische Schulversuche I|Veranstaltung von|Lehrstuhl Didaktik der Biologie
Praktikum Bioorganische Chemie|Vorlesungsnummer|23181
Praktikum Bioorganische Chemie|Veranstaltungsart|Praktikum
Praktikum Bioorganische Chemie|Dozent|Carlo Unverzagt
Praktikum Bioorganische Chemie|Veranstaltung von|Lehrstuhl Bioorganische Chemie
Praktikum Bioorganische Chemie|Vorlesungsnummer|23429
Praktikum Bioorganische Chemie|Veranstaltungsart|Praktikum
Praktikum Bioorganische Chemie|Dozent|Carlo Unverzagt
